═══════════════════════════════════════════════════════════════════════════════
PRIX STANDARDS CATALOGUE — FORMAT TABULAIRE STRICT
═══════════════════════════════════════════════════════════════════════════════

Chaque ligne DÉCRIT UN PRODUIT UNIQUE via 6 CRITÈRES puis SON PRIX.

COLONNES (dans l'ordre) :
  1. typologie   : filet | voile coco | accessoire | echantillon
  2. forme       : rectangle | carré | triangle | corde | cable | rislan | mât télescopique | base ancrage | kit de fixation | corde à cliquets | borne solaire
  3. matiere     : polyester | câble acier | coco | acier | n/a
  4. couleur     : sable | blanc | vert | militaire | noir | gris | bleu | naturel | n/a
  5. taille      : dimensions (ex : 3x4, 5x5x5, 7,5m, 1 pièce)
  6. SKU         : identifiant unique 13 chiffres
  7. TTC         : prix TTC en euros
  8-19. HT XX%   : prix HT selon taux TVA du pays de livraison (0 %, 17 %, ..., 27 %)

⚠️ RÈGLE ABSOLUE DE MATCHING (4 CRITÈRES STRICTS) :
Pour qu'un produit soit qualifié STANDARD, les 4 critères ci-dessous doivent
correspondre PARFAITEMENT à UNE ligne :
  (a) TYPOLOGIE du produit
  (b) FORME (rectangle/carré/triangle ne sont PAS interchangeables — un
      client qui demande un « carré 3x3 » n'accepte pas un « rectangle 3x3 »
      même si la surface est identique, ce sont des SKU différents)
  (c) MATIÈRE (polyester ≠ câble acier ≠ coco ; NE JAMAIS matcher sur une
      ligne polyester quand le client demande câble acier — cas cnv_1lrhc3br)
  (d) COULEUR (sable ≠ blanc ≠ vert etc.)
  (e) TAILLE (exacte ou inversée si rectangle : 3x4 = 4x3, mais 3x4 ≠ 3x5)

Si UN SEUL des critères ne matche pas → SUR-MESURE (via prix-ht-sur-mesure.txt)
ou refus si combinaison impossible (ex : triangle câble acier = SUR-MESURE
uniquement, aucun standard triangle acier n'existe).

⚠️ LECTURE DU PRIX HT selon pays de livraison client :
  France FR 20 %       → colonne HT 20%
  Allemagne DE 19 %    → colonne HT 19%
  Pays-Bas NL 21 %     → colonne HT 21%
  Belgique BE 21 %     → colonne HT 21%
  Espagne ES 21 %      → colonne HT 21%
  Portugal PT 23 %     → colonne HT 23%
  Italie IT 22 %       → colonne HT 22%
  Luxembourg LU 17 %   → colonne HT 17%
  Autriche AT 20 %     → colonne HT 20%
  Royaume-Uni GB 20 %  → colonne HT 20%
  Hors UE / export     → colonne HT 0% (TTC)
  B2B intra UE avec TVA valide hors pays boutique → colonne HT 0%

═══════════════════════════════════════════════════════════════════════════════


typologie   | forme              | matiere      | couleur      | taille     | SKU            |     TTC |   HT 0% |  HT 17% |  HT 18% |  HT 19% |  HT 20% |  HT 21% |  HT 22% |  HT 23% |  HT 24% |  HT 25% | HT 25,5% |  HT 27%
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
accessoire  | cable              | acier        | n/a          | 15m        | 3760388679171  |   22.90 |   22.90 |   19.57 |   19.41 |   19.24 |   19.08 |   18.93 |   18.77 |   18.62 |   18.47 |   18.32 |    18.25 |   18.03
accessoire  | cable              | acier        | n/a          | 30m        | 3760388679164  |   39.99 |   39.99 |   34.18 |   33.89 |   33.61 |   33.33 |   33.05 |   32.78 |   32.51 |   32.25 |   31.99 |    31.86 |   31.49
accessoire  | cable              | acier        | n/a          | 7.5m       | 3760388679188  |   14.90 |   14.90 |   12.74 |   12.63 |   12.52 |   12.42 |   12.31 |   12.21 |   12.11 |   12.02 |   11.92 |    11.87 |   11.73

accessoire  | corde              | coco         | naturel      | 20m        | 3760388678426  |   19.90 |   19.90 |   17.01 |   16.86 |   16.72 |   16.58 |   16.45 |   16.31 |   16.18 |   16.05 |   15.92 |    15.86 |   15.67

accessoire  | base ancrage       | n/a          | n/a          | 1 pièce    | 3760263850015  |   34.99 |   34.99 |   29.91 |   29.65 |   29.40 |   29.16 |   28.92 |   28.68 |   28.45 |   28.22 |   27.99 |    27.88 |   27.55

accessoire  | corde à cliquets   | n/a          | n/a          | lot de 4   | 3770030527972  |   19.90 |   19.90 |   17.01 |   16.86 |   16.72 |   16.58 |   16.45 |   16.31 |   16.18 |   16.05 |   15.92 |    15.86 |   15.67

accessoire  | kit de fixation    | n/a          | n/a          | 1 pièce    | 3770030527903  |   29.90 |   29.90 |   25.56 |   25.34 |   25.13 |   24.92 |   24.71 |   24.51 |   24.31 |   24.11 |   23.92 |    23.82 |   23.54

accessoire  | mât télescopique   | n/a          | n/a          | 1 pièce    | 3760263850060  |  189.99 |  189.99 |  162.38 |  161.01 |  159.66 |  158.33 |  157.02 |  155.73 |  154.46 |  153.22 |  151.99 |   151.39 |  149.60

accessoire  | rislan             | n/a          | blanc        | N/A        | 3760388676989  |    6.90 |    6.90 |    5.90 |    5.85 |    5.80 |    5.75 |    5.70 |    5.66 |    5.61 |    5.56 |    5.52 |     5.50 |    5.43
accessoire  | rislan             | n/a          | noir         | N/A        | 3770030527866  |    6.90 |    6.90 |    5.90 |    5.85 |    5.80 |    5.75 |    5.70 |    5.66 |    5.61 |    5.56 |    5.52 |     5.50 |    5.43

accessoire  | corde              | polyester    | blanc        | 15m        | 3760388670048  |    9.90 |    9.90 |    8.46 |    8.39 |    8.32 |    8.25 |    8.18 |    8.11 |    8.05 |    7.98 |    7.92 |     7.89 |    7.80
accessoire  | corde              | polyester    | blanc        | 30m        | 3760388670000  |   14.90 |   14.90 |   12.74 |   12.63 |   12.52 |   12.42 |   12.31 |   12.21 |   12.11 |   12.02 |   11.92 |    11.87 |   11.73
accessoire  | corde              | polyester    | blanc        | 7,5m       | 3760388670086  |    6.90 |    6.90 |    5.90 |    5.85 |    5.80 |    5.75 |    5.70 |    5.66 |    5.61 |    5.56 |    5.52 |     5.50 |    5.43
accessoire  | corde              | polyester    | bleu         | 15m        | 3760388677917  |    9.90 |    9.90 |    8.46 |    8.39 |    8.32 |    8.25 |    8.18 |    8.11 |    8.05 |    7.98 |    7.92 |     7.89 |    7.80
accessoire  | corde              | polyester    | bleu         | 30m        | 3760388677924  |   14.90 |   14.90 |   12.74 |   12.63 |   12.52 |   12.42 |   12.31 |   12.21 |   12.11 |   12.02 |   11.92 |    11.87 |   11.73
accessoire  | corde              | polyester    | bleu         | 7,5m       | 3760388677948  |    6.90 |    6.90 |    5.90 |    5.85 |    5.80 |    5.75 |    5.70 |    5.66 |    5.61 |    5.56 |    5.52 |     5.50 |    5.43
accessoire  | corde              | polyester    | gris         | 15m        | 3760388677931  |    9.90 |    9.90 |    8.46 |    8.39 |    8.32 |    8.25 |    8.18 |    8.11 |    8.05 |    7.98 |    7.92 |     7.89 |    7.80
accessoire  | corde              | polyester    | gris         | 30m        | 3760388677955  |   14.90 |   14.90 |   12.74 |   12.63 |   12.52 |   12.42 |   12.31 |   12.21 |   12.11 |   12.02 |   11.92 |    11.87 |   11.73
accessoire  | corde              | polyester    | gris         | 7,5m       | 3760388677962  |    6.90 |    6.90 |    5.90 |    5.85 |    5.80 |    5.75 |    5.70 |    5.66 |    5.61 |    5.56 |    5.52 |     5.50 |    5.43
accessoire  | corde              | polyester    | noir         | 15m        | 3760388670031  |    9.90 |    9.90 |    8.46 |    8.39 |    8.32 |    8.25 |    8.18 |    8.11 |    8.05 |    7.98 |    7.92 |     7.89 |    7.80
accessoire  | corde              | polyester    | noir         | 30m        | 3770030527996  |   14.90 |   14.90 |   12.74 |   12.63 |   12.52 |   12.42 |   12.31 |   12.21 |   12.11 |   12.02 |   11.92 |    11.87 |   11.73
accessoire  | corde              | polyester    | noir         | 7,5m       | 3760388670079  |    6.90 |    6.90 |    5.90 |    5.85 |    5.80 |    5.75 |    5.70 |    5.66 |    5.61 |    5.56 |    5.52 |     5.50 |    5.43
accessoire  | corde              | polyester    | sable        | 15m        | 3760388670055  |    9.90 |    9.90 |    8.46 |    8.39 |    8.32 |    8.25 |    8.18 |    8.11 |    8.05 |    7.98 |    7.92 |     7.89 |    7.80
accessoire  | corde              | polyester    | sable        | 30m        | 3760388670017  |   14.90 |   14.90 |   12.74 |   12.63 |   12.52 |   12.42 |   12.31 |   12.21 |   12.11 |   12.02 |   11.92 |    11.87 |   11.73
accessoire  | corde              | polyester    | sable        | 7,5m       | 3760388670093  |    6.90 |    6.90 |    5.90 |    5.85 |    5.80 |    5.75 |    5.70 |    5.66 |    5.61 |    5.56 |    5.52 |     5.50 |    5.43
accessoire  | corde              | polyester    | vert         | 15m        | 3760388670024  |    9.90 |    9.90 |    8.46 |    8.39 |    8.32 |    8.25 |    8.18 |    8.11 |    8.05 |    7.98 |    7.92 |     7.89 |    7.80
accessoire  | corde              | polyester    | vert         | 30m        | 3770030527989  |   14.90 |   14.90 |   12.74 |   12.63 |   12.52 |   12.42 |   12.31 |   12.21 |   12.11 |   12.02 |   11.92 |    11.87 |   11.73
